flash,ram,text,code,rodata,data,bss,dec,hex,filename
1322,0,1322,662,660,0,0,1322,`52a,armino/cmsis/libcmsis.a
10399,5652,10391,7816,2575,8,5644,16043,`3eab,armino/controller_if/libcontroller_if.a
59685,3638,57267,46206,11061,2418,1220,60905,`ede9,armino/bk_wifi/libbk_wifi.a
207397,43829,207225,177340,29885,172,43657,251054,`3d4ae,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/cp/components/bk_libs/bk7258/libs/libwifi.a
58156,3727,57908,52914,4994,248,3479,61635,`f0c3,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
8140,0,8140,8140,0,0,0,8140,`1fcc,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
55465,1017,54765,26180,28585,700,317,55782,`d9e6,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
12646,368,12646,2812,9834,0,368,13014,`32d6,armino/cm33/libcm33.a
65773,6776,65181,53026,12155,592,6184,71957,`11915,armino/driver/libdriver.a
8040,4,8040,6646,1394,0,4,8044,`1f6c,armino/common/libcommon.a
6991,1118,6082,5286,796,909,209,7200,`1c20,armino/bk_pm/libbk_pm.a
2959,89,2950,2346,604,9,80,3039,`bdf,armino/bk_system/libbk_system.a
116,1,116,116,0,0,1,117,`75,armino/bk_ate/libbk_ate.a
679,4,679,542,137,0,4,683,`2ab,armino/bk_init/libbk_init.a
32456,9951,25043,19012,6031,7413,2538,34994,`88b2,armino/bk_cli/libbk_cli.a
7806,86,7720,7600,120,86,0,7806,`1e7e,armino/bk7258/libbk7258.a
2550,13,2550,1586,964,0,13,2563,`a03,armino/bk_phy/libbk_phy.a
399,8,399,390,9,0,8,407,`197,armino/bk_startup/libbk_startup.a
2400,17,2400,1922,478,0,17,2417,`971,armino/bk_event/libbk_event.a
4855,304,4855,3052,1803,0,304,5159,`1427,armino/at_server/libat_server.a
44,0,44,32,12,0,0,44,`2c,armino/bk_uid/libbk_uid.a
457,0,457,268,189,0,0,457,`1c9,armino/cp/libcp.a
1739,36,1739,1486,253,0,36,1775,`6ef,armino/tuyaos_adapter/libtuyaos_adapter.a
20548,0,20548,204,20344,0,0,20548,`5044,armino/utf8/libutf8.a
10974,4825,6158,5276,882,4816,9,10983,`2ae7,armino/bk_rtos/libbk_rtos.a
14995,856,14991,13338,1653,4,852,15847,`3de7,armino/os_source/libos_source.a
4309,328,4309,2016,2293,0,328,4637,`121d,armino/coredump/libcoredump.a
5363,429,4967,3796,1171,396,33,5396,`1514,armino/bk_bluetooth/libbk_bluetooth.a
3258,112,3258,2666,592,0,112,3370,`d2a,armino/temp_detect/libtemp_detect.a
622,65,622,472,150,0,65,687,`2af,armino/bk_netif/libbk_netif.a
148682,374,148642,131872,16770,40,334,149016,`24618,armino/wpa_supplicant-2.10/libwpa_supplicant-2.10.a
903,0,903,880,23,0,0,903,`387,armino/uart_debug/libuart_debug.a
3839,56,3803,3564,239,36,20,3859,`f13,armino/iperf/libiperf.a
1050,4,1046,72,974,4,0,1050,`41a,armino/vnd_cal/libvnd_cal.a
356,0,356,100,256,0,0,356,`164,armino/bk_common/libbk_common.a
1748,272,1744,1582,162,4,268,2016,`7e0,armino/unity/libunity.a
37748,36,37712,33242,4470,36,0,37748,`9374,armino/psa_mbedtls/libpsa_mbedtls.a
16,0,16,16,0,0,0,16,`10,armino/bk_adapter/libbk_adapter.a
124329,45171,124269,110482,13787,60,45111,169440,`295e0,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/cp/components/bk_libs/bk7258/libs/libbluetooth_controller_controller_only_ble.a
65439,1240,65328,50998,14330,111,1129,66568,`10408,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/cp/components/bk_libs/bk7258/libs/libbk_phy.a
53,0,53,24,29,0,0,53,`35,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/cp/components/bk_libs/bk7258/libs/libbk_phy_info.a
2642,4,2642,2386,256,0,4,2646,`a56,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/cp/components/bk_libs/bk7258/libs/libuid.a
256,0,256,256,0,0,0,256,`100,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libm.a
132,0,132,132,0,0,0,132,`84,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libnosys.a
